,Population Density (Per Sq. Mile),Area (Land),% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,Median Household Income (In 2019 Inflation Adjusted Dollars),Per Capita Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units with Cash Rent,Population for Whom Poverty Status Is Determined:,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
152,7616.852,0.29408476,1.7,1.29,584,54345,16249,300,284,293,2228,0.528545439,-0.199219763,10,17.42046738,50.76212692,46013.34375,46596.62891,46614.54297,15244.73438,15276.50293,68.51094055,67.82235718,86.38349152,84.19765472,83.20429993,80.78783417
153,2417.069,0.613553036,1.42,0,785,63977,43119,334,451,334,1483,0.451742381,-0.337156683,10,27.95820618,72.17118835,45299.72656,45789.19531,46037.71484,15207.0127,15282.94434,68.08725739,67.45480347,85.2629776,83.25905609,82.55748749,80.37474823
154,8289.697,0.292290543,0,0,1071,38018,23570,1071,0,1071,2285,0.53729713,-0.256702036,10,34.26950455,63.56138229,45826.90234,46227.46094,46788.59375,15204.23535,15207.35547,68.08337402,67.49743652,85.92495728,83.60411835,82.26049042,80.16867828
155,3931.124,0.644090629,0,0,1055,36037,18158,942,113,930,2532,0.507954717,-0.267532468,10,25.51018333,62.43716049,45412.74219,46208.44922,46377.53125,15198.54004,15242.77734,68.34621429,67.69545746,86.0315094,83.72812653,82.49747467,80.33708191
156,657.1691,2.743586071,1.39,0,926,48188,42212,856,70,856,1724,0.503946006,-0.207253069,10,24.54063225,58.0765686,46166.66016,46492.01563,46793.52344,15250.82617,15281.45508,68.66261292,67.9821701,86.48699951,84.04508972,82.50802612,80.36611938
157,6017.749,0.508495792,3.1,2.48,987,50563,21398,557,430,519,2914,0.53391856,-0.238883406,10,22.89910698,50.49118423,45401.4375,46551.31641,46590.55469,15204.63867,15284.16699,68.40036011,67.71013641,86.39903259,84.1034317,83.16323853,80.78755951
158,10707.72,0.44771443,2.23,0.15,1466,55469,22721,1076,390,1052,4794,0.468445987,-0.196949542,10,32.4544754,43.28775024,45182.80859,46713.21484,46296.11719,15179.40039,15277.3916,68.65070343,67.97142029,86.27993774,84.31280518,83.48963928,81.13694763
159,1123.54,4.2828905,0.35,0.91,2414,67087,49939,1766,648,1758,4812,0.43063733,-0.217802688,10,39.06640625,64.38017273,46862.22656,46771.50781,46686.49609,15205.51465,15293.19238,68.95274353,68.24129486,86.36376953,84.20413971,82.83901978,80.74591827
160,1405.329,0.768503175,0,0,0,,1803,0,0,0,0,0.401634485,-0.15967378,30,27.17013168,44.74766159,46947.10156,47295.62891,47037.06641,15292.20508,15380.6582,68.78102875,68.11528778,86.20901489,84.19577026,83.12739563,80.88645172
161,2804.144,0.808802975,5.56,1.19,812,82500,36789,193,619,186,2268,0.512811065,-0.277855754,10,14.18421745,59.45869827,46015.61328,46316.19922,46787.64063,15233.36035,15301.26563,68.31364441,67.679245,85.88378143,83.84091187,82.93419647,80.55831909
162,8754.339,0.175113167,1.63,0,519,34861,17551,464,55,464,1533,0.524237156,-0.29088816,10,18.7564373,55.92528915,46437.77344,46293.04688,46934.89063,15242.6582,15282.7793,68.47769165,67.77540588,86.09496307,83.92015839,83.24166107,80.70841217
163,3758.931,0.248740921,5.13,1.07,300,93500,33261,104,196,104,935,0.551724136,-0.258554727,10,14.05455112,53.12031555,46327.91016,46409.95703,46992.53906,15236.5293,15276.41211,68.45426178,67.76022339,86.06604004,84.1296463,83.22459412,80.79976654
164,5054.517,0.374912162,0.58,0,737,50474,25956,537,200,537,1895,0.554826796,-0.236933395,10,16.30809975,56.03630447,46146.86719,46478.13281,46192.58594,15240.49219,15347.25391,68.56270599,67.89635468,85.92969513,83.73406219,82.66770172,80.42299652
165,5001.811,0.516812819,0,0.35,955,45560,21097,805,150,791,2585,0.442785978,-0.185317084,10,30.86546516,51.08345032,46545.86328,46844.69922,46151.32813,15253.77148,15343.73047,69.09450531,68.34606171,86.7284317,84.4761734,83.48887634,81.09801483
166,5047.348,0.599720925,1.06,0,1506,58393,39618,1154,352,1154,3027,0.507778466,-0.237321138,10,22.26139832,52.70350266,46317.33203,46494.30469,45925.60938,15251.93262,15364.46875,68.55896759,67.86981201,86.31361389,84.14291382,83.13259888,80.76617432
167,2618.271,0.866220616,2.12,0.4,982,51064,30235,618,364,610,2268,0.389760613,-0.103758723,10,35.72292328,48.75044632,47173.0625,47040.08594,47605.58203,15304.36133,15437.32715,69.63645935,68.87556458,86.23548889,84.44194794,83.76481628,81.50239563
168,3902.019,0.518449506,1.29,1.29,922,56371,35941,557,365,557,2023,0.467848331,-0.232334077,10,20.92532539,51.67895508,46178.47656,46661.24219,46890.39063,15259.45605,15355.41504,68.91807556,68.19966125,86.38974762,84.1785202,83.41001892,80.95030975
169,5105.782,0.231502231,0,0,427,40744,32698,333,94,333,1182,0.325288087,-0.348965347,10,22.72390366,56.1043663,46991.76172,46880.98047,47545.84375,15303.20605,15444.17578,69.52156067,68.7623291,86.60362244,84.18226624,83.40601349,80.99884033
170,13869.21,0.173333622,0,0,729,36654,13258,652,77,652,2404,0.471068323,-0.22702378,10,25.16273117,49.60823059,46724.89844,46847.49609,47426.39453,15288.54395,15352.22266,69.13562012,68.40589142,86.38983917,84.25854492,83.71279907,81.20411682
171,12170.43,0.051436146,0,0,262,24213,12807,262,0,262,626,0.423227817,-0.150330052,10,34.46472168,27.02890778,46956.83984,47223.68359,47655.44922,15296,15340,70.10861206,69.31331635,87.24343872,85.2859726,84.24674988,81.75611877
172,10102.14,0.164024698,0,0,232,,7046,232,0,224,958,0.347188324,-0.059330638,50,37.89476013,28.37684822,47659.15625,47708.10156,48070.66016,15313.34473,15383.32617,70.09453583,69.28505707,86.79345703,85.0103302,84.53610229,82.15072632
173,9492.534,0.211007927,0,0,707,34042,17022,698,9,688,1982,0.462419778,-0.141061381,10,31.98731995,37.19923019,46790.76953,47134.21875,47629.28516,15298.30859,15373.63184,69.64159393,68.90996552,86.59819031,84.66960907,84.14177704,81.6531601
174,3301.755,0.548799068,1.6,1.93,931,61069,46109,581,350,567,1812,0.542806268,-0.288028687,10,23.17112923,65.29868317,45458.1875,45540.03906,46019.47656,15075.19922,15085.16602,67.97733307,67.34825134,86.38462067,83.75093079,82.04441833,79.98349762
175,2915.158,1.210568929,2.75,4.28,1566,83333,55613,910,656,893,3461,0.535295129,-0.286284596,10,17.87991905,62.76651382,46465.64453,46503.96875,46514.3125,15177.84961,15237.30078,68.21324921,67.52440643,85.84092712,83.47107697,82.09361267,80.10212708
176,1346.851,1.294872023,4.59,3.15,782,87174,63549,479,303,479,1698,0.508952856,-0.246501148,10,32.15545273,61.05767822,46108.07031,46280.82813,46409.33594,15125.02148,15154.66602,68.42510223,67.80966187,86.39235687,84.03224945,82.3068161,80.28702545
177,2451.665,0.939361495,4.47,3,886,70893,38991,509,377,509,2241,0.438492447,-0.191553712,10,29.88433266,48.32421112,47118.88281,47118.63672,46967.30078,15252.22461,15366.13965,69.01896667,68.20996094,86.06976318,84.30448151,83.18338013,81.12689209
178,3422.819,0.326923522,6.08,3.93,576,78947,56295,71,505,71,1119,0.439712733,-0.259574175,10,22.76160431,46.82884598,46855.85547,46646.60547,46756.25,15243.11133,15387.30957,68.76268005,67.970047,85.92829895,84.22916412,83.43302917,81.12654114
179,3359.287,0.997830878,7.73,3.13,1698,79362,53992,1045,653,1010,3218,0.475530446,-0.214114159,10,28.32101059,57.76486969,46630.75781,46638.76953,46806.6875,15223.8584,15325.86914,68.95294952,68.13452148,85.69116211,83.85736084,82.81636047,80.77684784
180,4084.049,0.743379892,1.84,1.61,1350,83359,43347,548,802,548,3036,0.48774761,-0.260360986,10,16.36898232,55.00686264,46093.86328,46128.82031,46151.00391,15236.47266,15299.78223,68.18588257,67.53083801,86.15658569,83.69132233,82.32491302,80.22838593
181,3913.525,0.577484529,0.75,0,938,61081,35240,664,274,664,2260,0.377804488,-0.236853987,10,34.91350937,51.24829483,45906.20313,46388.90625,46452.73438,15238.37695,15304.60254,69.06175232,68.29798126,86.13884735,84.19615173,83.29808044,81.13813782
182,2414.11,0.696737205,8.62,15.64,777,101827,54320,353,424,344,1682,0.494422525,-0.304652929,10,18.5532341,65.73410034,45860.84766,46526.47266,46607.85547,15250.34473,15315.5,68.18062592,67.52091217,85.6664505,83.3113327,81.98032379,79.99329376
183,2361.396,0.421361026,1.81,4.62,518,56250,37697,358,160,358,995,0.500411928,-0.211636662,10,27.82706261,60.97129822,45356.74219,46569.48047,46673.69531,15264.18848,15328.20508,68.57634735,67.82510376,85.6342926,83.64311218,82.52926636,80.56576538
184,2480.881,0.383734596,5.04,0,420,67750,39298,247,173,247,952,0.443075359,-0.258604199,10,21.44602013,58.73675156,45593.11719,45922.01953,46242.10156,15204.78906,15253.87109,68.42415619,67.72084808,86.12184143,83.9538269,82.49274445,80.46604156
185,3479.099,0.652755148,4.36,0.4,856,68333,36794,302,554,302,2271,0.473712683,-0.219793171,10,29.78679085,60.84136581,45482.15625,46049.11719,46211.31641,15210.77637,15282.32031,68.69821167,67.95597076,85.89635468,83.83883667,82.81755066,80.84848785
186,2769.96,0.879795968,3.94,1.44,765,144479,52854,56,709,44,2432,0.515391648,-0.254758686,10,12.92322731,59.95185089,46160.9375,46281.44531,45941.56641,15241.32227,15294.40137,68.26699066,67.59516907,85.82196045,83.602211,82.43315125,80.29919434
187,2426.654,0.400963634,5.14,2.06,470,98409,55737,173,297,173,973,0.39624849,-0.174629748,10,30.17570686,53.42489243,46689.16016,46852.33203,45946.89844,15266.95313,15221.09766,69.27574158,68.51491547,86.46032715,84.46260071,83.68117523,81.36885071
188,3009.355,0.56224662,8.1,0.53,735,96932,48559,155,580,155,1692,0.510607541,-0.221076205,10,13.59594822,50.46828842,46134.86328,46532.37891,46089.83984,15248.45313,15302.33203,68.3949585,67.76512909,86.11128235,84.19038391,83.22816467,80.87943268
189,3608.095,0.427926693,4.27,14.31,798,93444,63043,490,308,490,1539,0.361183375,-0.280703008,10,19.91713715,61.34259033,46343.42969,46561.15234,46701.05078,15285.01855,15308.26953,68.83503723,68.10236359,85.78347778,83.98375702,82.9157486,80.82672119
190,4567.165,0.320330056,5.81,4.1,730,28750,32119,376,354,376,1453,0.429857254,-0.193023652,10,23.96276855,43.94073868,46508.30859,46833.02344,46473.57813,15255.8291,15277.80078,68.89550781,68.19876099,85.96266174,84.2772522,83.45814514,81.16453552
191,2514.546,0.767136373,3.21,2.85,875,93375,71295,400,475,390,1929,0.489020824,-0.243454635,10,11.89906693,62.25217819,46774.87891,46698.60938,46578.24219,15252.4668,15246.80273,68.76289368,67.92841339,86.1825943,83.84744263,82.56642151,80.45748901
192,2168.785,0.431578061,2.88,1.07,468,87917,59877,214,254,214,936,0.430672199,-0.171171263,10,26.54490089,48.35595703,47313.78516,47277.65625,46862.33203,15255.16309,15301.60059,69.30653381,68.42440796,85.66473389,84.16172028,83.29846191,81.38954926
193,4470.139,0.590138255,5.27,1.18,986,83400,42196,336,650,268,2638,0.532251656,-0.219194159,10,13.20857716,56.47550964,46415.14063,46961.68359,46179.62891,15293.86328,15316,68.56139374,67.82206726,85.72988892,83.61828613,82.36741638,80.3793869
194,1595.229,1.111439512,2.54,2.65,784,52692,25689,518,266,489,1773,0.300833136,-0.154977456,50,44.19981003,41.60808563,46709.74219,47538.64063,47105.69141,15314.74414,15425.96191,69.80641937,68.94947815,85.72234344,84.35379028,83.74745941,81.73351288
195,2124.924,0.930856823,0.96,1.97,738,44310,30925,540,198,540,1821,0.312970847,-0.076879375,50,47.97660828,49.7539444,47010.63672,47535.03516,47165.82813,15310.62598,15424.94434,69.83642578,68.99629211,85.86367798,84.45030212,83.61972809,81.74449921
196,5321.621,0.514880764,0.8,0,1057,25881,13704,1042,15,1010,2740,0.367439866,-0.183885396,10,43.17923355,50.76207352,46477.91797,47265.28125,47180.67969,15310.35059,15386.75586,69.54130554,68.70684052,86.26878357,84.44500732,83.71698761,81.56962585
197,7561.967,0.246099982,0.86,0,730,40536,19021,470,260,470,1861,0.436297774,-0.162529305,10,26.17519188,43.58939743,46892.40625,47344.27734,47056.08594,15323.29688,15386.27734,69.29608154,68.53449249,86.2433548,84.40500641,83.57030487,81.311409
198,4952.166,0.367314057,5.28,0.77,665,61277,26752,281,384,273,1799,0.397072673,-0.145495072,10,27.97096634,36.58600616,47137.13281,47434.59375,47569.05859,15345.59082,15390.3291,69.28063202,68.43119812,85.94024658,84.45207214,84.00408936,82.01669312
199,2596.268,0.671348284,6.2,2.75,773,43607,26542,384,389,384,1743,0.431430191,-0.158951923,10,30.31300354,52.16733551,46701.52734,46987.62109,47294.75,15332.18457,15360.41602,69.04708862,68.22042847,86.19023895,84.32563019,83.21442413,81.04087067
200,2937.92,1.094992332,4.85,1.52,1288,68500,34785,675,613,666,3217,0.440657079,-0.157165289,10,27.68693733,45.84913635,47014.63672,46964.92578,47554.04297,15335.58594,15415.96484,69.45140076,68.68489075,85.62987518,84.14039612,83.12613678,81.04811096
201,2399.882,0.853375382,0,1.42,723,63922,30053,155,568,155,2043,0.366528213,-0.12407434,10,38.56499481,41.79304886,46785.74219,47380.69531,47543.03516,15326.74609,15412.30273,69.44210815,68.57631683,86.47186279,84.59268188,83.86885834,81.55134583
202,2167.883,0.658707299,0.63,0,602,51833,23744,550,52,539,1428,0.362597227,-0.139268473,10,45.71159744,55.82051086,46016.69141,46977.10938,47150.36328,15321.38574,15371.52246,69.37275696,68.5249176,86.58837891,84.58958435,83.55044556,81.26329803
203,1396.23,0.913173343,10.43,4.63,419,70129,29275,120,299,120,1150,0.425258338,-0.147735462,10,31.09753036,56.92426682,45820.11719,46688.08203,47266.45313,15311.5332,15385.39844,68.85369873,68.05518341,86.09624481,84.1134491,83.09087372,80.86950684
204,4440.585,0.427646383,5.32,0.58,618,68531,23412,212,406,195,1891,0.442638487,-0.175502628,10,25.97919273,49.73624039,46480.59766,47046.75781,47265.71094,15333.64746,15385.83984,68.6244278,67.86964417,86.422966,84.25714111,83.23755646,80.89543152
205,2340.175,0.845663378,4.35,1.77,753,42083,24349,207,546,207,1979,0.468719155,-0.172886014,10,20.94958305,46.22979355,46435.46875,47008.16406,46874.43359,15325.82422,15392.99805,68.49936676,67.74434662,86.77692413,84.44545746,83.36727142,80.85967255
206,3150.743,1.066732356,6.81,2.05,1281,60160,30185,647,634,637,3361,0.427928567,-0.160551295,10,30.13981247,43.46146011,46134.64063,46998.60547,47323.12891,15320.89453,15395.69727,68.85129547,68.04658508,86.55368042,84.48880768,83.81011963,81.3109436
207,4548.034,0.162267933,6.78,7.45,328,,21990,328,0,328,601,0.384008884,-0.118743725,10,38.27652359,35.60645676,45871.83984,46931.23438,46938.73047,15242.53711,15306.75293,69.34293365,68.57429504,87.04057312,85.03131866,84.22425842,81.76342773
208,1609.471,0.923906211,10.76,1.08,629,54107,27248,197,432,197,1487,0.453805566,-0.156790063,10,31.43447113,53.1006813,45907.35547,46701.19922,46767.52734,15225.19922,15332.93262,69.12289429,68.35472107,86.1020813,84.23918915,83.55225372,81.34177399
209,4267.022,0.327394567,2.29,0,710,44588,24794,477,233,438,1397,0.465484798,-0.191717282,10,24.54536819,45.28991318,45935.90625,47142.96484,47092.05469,15260.68652,15336.93945,69.23160553,68.46853638,86.65106964,84.46795654,83.64902496,81.16873169
210,1843.899,1.623190532,5.61,2.14,1245,41037,22543,562,683,513,2945,0.55391711,-0.264981449,10,22.24069786,68.11528015,45703.27734,46148.35156,46235.10547,15246.74219,15292.65527,68.18840027,67.65483093,86.63294983,83.86766815,81.9240799,79.86032867
211,610.642,2.641482509,12.03,3.53,612,40224,23965,229,383,229,1613,0.533703923,-0.224573672,10,34.06096268,69.19796753,45976.08594,46263.08203,46437.54688,15221.4043,15259.90527,68.34050751,67.7511673,86.72917938,83.90044403,81.91914368,79.83330536
212,3438.91,2.17161817,0.94,0,2049,59513,21122,521,1528,479,7382,0.522437871,-0.239971131,10,29.08469009,72.40896606,45590.91797,46005.17188,46362.42578,15213.99609,15226.6377,68.18457031,67.56163788,86.52374268,83.93531036,82.20565033,80.05744171
213,660.9942,2.054480947,7.66,0,397,,19995,24,373,24,1358,0.544960618,-0.229783624,10,20.05092049,70.52850342,45551.95703,46063.09766,46314.17578,15202.91113,15240.60645,68.05821228,67.47824097,87.01068878,83.96312714,81.80043793,79.75667572
214,2948.683,1.450138765,0,0,1619,57531,23122,478,1141,478,4276,0.52371937,-0.20602861,10,28.4548893,65.30973053,45091.82422,46172.13281,46253.50781,15217.17871,15264.01465,68.34182739,67.66650391,86.56065369,84.11843109,82.69691467,80.37168121
215,2702.721,0.892063979,0.95,0,772,49727,20910,310,462,310,2411,0.591966152,-0.232644901,10,19.21340561,63.43908691,45233.46875,45672.94922,46069.26563,15190.35938,15205.22852,67.81943512,67.28266144,87.36403656,84.19642639,81.86903381,79.76784515
216,4036.611,2.487235076,0.76,0,3047,66576,24051,871,2176,871,10040,0.561872482,-0.190027252,10,22.32104301,61.01056671,46306.82813,46288.92969,46728.38281,15197.43359,15259.23242,67.66343689,67.15307617,87.42902374,84.36186981,82.67819214,80.17663574
217,576.1885,7.395149321,4.39,0.19,1395,59293,24161,382,1013,382,4261,0.558337808,-0.249333113,10,29.76774788,73.56415558,45943.90625,45880.11719,46453.74219,15165.40918,15212.30762,68.22112274,67.65911865,86.51042938,83.7904892,81.52879333,79.57015228
218,3069.511,1.345165306,2.06,0.78,2086,72929,52070,1524,562,1524,4129,0.478279442,-0.251914084,10,27.56263161,57.98925018,46404.75,46491.05469,46655.87891,15242.95605,15397.36719,68.45915985,67.76891327,85.87685394,83.76719666,82.56748199,80.50801086
219,3812.511,2.083141312,1.69,0.78,3545,84241,73607,2169,1376,2169,7880,0.504887998,-0.190680772,10,33.50557709,54.58687592,45283.87109,46720.45313,46752.25391,15249.19824,15343.33789,68.10382843,67.39907837,85.31098938,83.97084808,83.4234848,81.24575806
220,1687.928,2.446194731,2.49,0.51,2200,108962,73398,1622,578,1622,4129,0.422241777,-0.144912079,10,46.33654785,59.63853073,44601.80469,46517.29297,46349.75,15255.29004,15356.35449,68.37998962,67.66674805,84.83291626,84.09833527,84.03244781,82.09481812
221,2613.065,0.781457675,14.3,9.94,933,101616,51067,215,718,185,2042,0.521288693,-0.303589761,10,15.15719128,59.72037506,44478.16406,46423.66797,44211.82031,15221.0498,15271.85156,67.76399231,67.18582916,85.75354004,83.45796967,82.13031006,80.12047577
222,4097.184,0.563557823,3.68,2.08,928,81757,41014,303,625,303,2258,0.500719726,-0.336451262,10,16.41020584,64.09581757,45567.78516,46030.40625,44501.55078,15215.34277,15243.66211,67.5982666,67.03760529,85.76379395,83.20407867,81.33605957,79.48978424
223,8802.474,0.311048932,0.58,0,1426,57656,33156,992,434,992,2738,0.407447428,-0.266498715,10,29.00688362,45.94839478,45691.52344,46525.53516,45331.39063,15223.04199,15291.75195,68.31171417,67.66611481,86.14227295,84.04347229,82.61646271,80.54415131
224,2473.371,0.580179908,0,0,791,55417,51199,433,358,433,1435,0.471205026,-0.189357877,10,28.19719887,55.25601959,44736.98047,45740.80078,46106.87891,15104.19824,15168.60938,68.44438934,67.76223755,86.42333221,84.16259003,82.99126434,80.79576874
225,4681.253,0.466968959,0.37,0,1526,55417,48047,944,582,944,2186,0.517760813,-0.211076275,10,34.96561432,49.43183136,45826.52344,45951.84766,46157.50391,15171.64258,15212.54395,68.59912872,67.88532257,85.97517395,83.94741821,82.9623642,80.87754822
226,2051.87,1.594155649,3.64,0.92,1455,91837,51101,508,947,490,3271,0.549225807,-0.264357418,10,28.39605904,66.81389618,44284.66797,45785.25391,45219.31641,15128.60645,15134.60547,68.27446747,67.66044617,86.22071075,83.81550598,82.08958435,80.10257721
227,1968.112,1.004516237,2.98,0,724,129792,55910,111,613,111,1977,0.557301879,-0.283568829,10,15.2241087,66.33039856,45477.66016,46123.95703,46092.77344,15189.78613,15272.36035,68.11001587,67.4772644,85.67269135,83.34503174,81.79184723,79.92389679
228,1867.612,0.73409259,5.84,0,498,149583,61051,7,491,7,1371,0.581106067,-0.295003772,10,11.21369553,68.23184204,45152.17188,45805.26953,46161.82031,15197.13379,15265.46191,67.78839874,67.20896912,85.76651001,83.32038116,81.77256775,79.79294586
